dof l2_err level
5 4.312e-03 2
17 2.547e-03 3
49 7.407e-04 4
129 2.102e-04 5
321 5.874e-05 6
769 1.623e-05 7
1793 4.442e-06 8
4097 1.207e-06 9
9217 3.261e-07 10
